@relation raw_sales

@attribute datesold date dd-MM-yyyy
@attribute postcode numeric
@attribute price numeric
@attribute propertyType {house,unit}
@attribute bedrooms numeric

@data
07-02-2007,2607,525000,house,4
27-02-2007,2906,290000,house,3
07-03-2007,2905,328000,house,3
09-03-2007,2905,380000,house,4
21-03-2007,2906,310000,house,3
04-04-2007,2905,465000,house,4
24-04-2007,2607,399000,house,3
30-04-2007,2606,1530000,house,4
24-05-2007,2902,359000,house,3
25-05-2007,2906,320000,house,3
26-06-2007,2902,385000,house,3
27-06-2007,2906,305000,house,3
28-06-2007,2904,765000,house,4
30-06-2007,2615,517000,house,4
02-07-2007,2914,800000,house,5
03-07-2007,2906,336000,house,3
06-07-2007,2615,535000,house,5
07-07-2007,2602,900000,house,4
08-07-2007,2600,327000,house,1
12-07-2007,2602,427500,house,3
13-07-2007,2602,780000,house,3
18-07-2007,2602,530000,house,3
20-07-2007,2605,525000,house,3
21-07-2007,2603,1780000,house,4
30-07-2007,2611,446000,house,3
31-07-2007,2605,506000,house,3
03-08-2007,2905,383000,house,3
07-08-2007,2904,815000,house,5
10-08-2007,2602,545500,house,3
11-08-2007,2602,520000,house,3
14-08-2007,2617,625000,house,4
16-08-2007,2600,790000,house,4
21-08-2007,2905,320000,house,3
23-08-2007,2913,560000,house,4
24-08-2007,2904,585000,house,4
28-08-2007,2906,325000,house,2
29-08-2007,2602,599000,house,3
30-08-2007,2905,315000,house,2
31-08-2007,2902,348000,house,3
03-09-2007,2611,465000,house,3
04-09-2007,2913,820000,house,4
06-09-2007,2611,590000,house,3
11-09-2007,2904,559000,house,4
15-09-2007,2902,446000,house,4
18-09-2007,2602,470000,house,3
20-09-2007,2903,396500,house,4
21-09-2007,2603,1460000,house,5
22-09-2007,2602,500000,house,4
24-09-2007,2612,920000,house,4
27-09-2007,2903,507000,house,4
02-10-2007,2611,475000,house,3
09-10-2007,2904,397000,house,3
10-10-2007,2605,556000,house,3
12-10-2007,2905,447000,house,4
15-10-2007,2615,273000,house,1
16-10-2007,2615,368000,house,3
17-10-2007,2904,560000,house,5
19-10-2007,2905,455000,house,4
24-10-2007,2906,300500,house,3
25-10-2007,2602,135500,house,1
26-10-2007,2913,1100000,house,5
02-11-2007,2913,365000,house,3
05-11-2007,2615,472500,house,4
07-11-2007,2615,372500,house,3
08-11-2007,2905,395000,house,3
12-11-2007,2611,465000,house,2
16-11-2007,2615,379000,house,3
17-11-2007,2614,380000,house,3
20-11-2007,2615,442500,house,4
22-11-2007,2902,560000,house,4
23-11-2007,2904,560000,house,4
24-11-2007,2905,335000,house,3
27-11-2007,2902,439000,house,3
29-11-2007,2912,308000,house,1
30-11-2007,2602,425000,house,3
01-12-2007,2615,930000,house,5
03-12-2007,2905,365000,house,3
04-12-2007,2906,620000,house,4
05-12-2007,2600,825000,house,3
06-12-2007,2905,335000,house,3
07-12-2007,2902,350000,house,3
08-12-2007,2602,421000,house,3
12-12-2007,2605,635000,house,4
13-12-2007,2606,357500,house,3
14-12-2007,2602,259000,house,2
15-12-2007,2906,530000,house,4
19-12-2007,2602,630000,house,3
20-12-2007,2905,615000,house,4
21-12-2007,2615,332000,house,3
02-01-2008,2906,309000,house,2
14-01-2008,2602,413000,house,3
15-01-2008,2905,445000,house,4
17-01-2008,2605,417500,house,2
18-01-2008,2602,580000,house,4
23-01-2008,2601,380000,house,1
24-01-2008,2602,560000,house,4
30-01-2008,2602,485000,house,3
01-02-2008,2905,599000,house,4
04-02-2008,2902,349000,house,3
