@relation 'adult_pre1-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.ReplaceMissingValues-unset-class-temporarily-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4,8-9,14-15'

@attribute age {0_25,26_40,41_60,61_max}
@attribute workclass {Private,State-gov,Federal-gov,Self-emp-not-inc,Self-emp-inc,Local-gov,Without-pay,Never-worked}
@attribute education.num {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute marital.status {Single,Married}
@attribute occupation {Exec-managerial,Machine-op-inspct,Prof-specialty,Other-service,Adm-clerical,Craft-repair,Transport-moving,Handlers-cleaners,Sales,Farming-fishing,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute sex {Female,Male}
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute income_nominal {0,1}

@data
61_max,Private,9,Single,Prof-specialty,Female,0,4356,40,0
61_max,Private,9,Single,Exec-managerial,Female,0,4356,18,0
41_60,Private,10,Single,Prof-specialty,Female,0,4356,40,0
41_60,Private,4,Single,Machine-op-inspct,Female,0,3900,40,0
26_40,Private,10,Single,Prof-specialty,Female,0,3900,40,0
0_25,Private,9,Single,Other-service,Female,0,3770,45,0
26_40,Private,6,Single,Adm-clerical,Male,0,3770,40,0
61_max,State-gov,16,Single,Prof-specialty,Female,0,3683,20,1
41_60,Federal-gov,9,Single,Prof-specialty,Female,0,3683,40,0
26_40,Private,10,Single,Craft-repair,Male,0,3004,60,1
26_40,Private,16,Single,Prof-specialty,Female,0,3004,35,1
26_40,Self-emp-not-inc,15,Single,Prof-specialty,Male,0,2824,45,1
26_40,Private,13,Single,Other-service,Female,0,2824,20,1
0_25,Private,14,Single,Exec-managerial,Male,0,2824,55,1
26_40,Private,16,Single,Prof-specialty,Male,0,2824,40,1
26_40,Private,15,Single,Prof-specialty,Male,0,2824,40,1
26_40,Private,7,Single,Transport-moving,Male,0,2824,76,1
41_60,Private,14,Single,Exec-managerial,Male,0,2824,50,1
0_25,Private,12,Single,Handlers-cleaners,Male,0,2824,40,1
0_25,Private,13,Single,Sales,Male,0,2824,50,1
26_40,Private,13,Single,Exec-managerial,Male,0,2824,40,1
0_25,Private,7,Single,Sales,Female,0,2754,42,0
41_60,Private,9,Single,Sales,Female,0,2754,25,0
26_40,Private,10,Married,Transport-moving,Male,0,2603,40,0
41_60,Private,9,Married,Prof-specialty,Male,0,2603,32,0
0_25,Private,11,Married,Craft-repair,Male,0,2603,40,0
0_25,Private,2,Married,Craft-repair,Male,0,2603,32,0
26_40,Private,3,Married,Other-service,Male,0,2603,40,0
26_40,Self-emp-inc,6,Single,Transport-moving,Male,0,2559,50,1
26_40,Private,6,Single,Prof-specialty,Male,0,2559,90,1
0_25,Private,10,Single,Other-service,Male,0,2559,40,1
41_60,Self-emp-inc,6,Single,Exec-managerial,Female,0,2559,50,1
26_40,Private,15,Single,Exec-managerial,Male,0,2559,60,1
26_40,Private,13,Single,Exec-managerial,Male,0,2559,50,1
41_60,Self-emp-not-inc,9,Single,Exec-managerial,Male,0,2559,50,1
41_60,Federal-gov,16,Single,Exec-managerial,Female,0,2559,60,1
