@relation 'adult_pre1-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.ReplaceMissingValues-unset-class-temporarily-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4,8-9,14-15-weka.filters.unsupervised.instance.Resample-S1-Z90.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z90.0-no-replacement-V'

@attribute age {0_25,26_40,41_60,61_max}
@attribute workclass {Private,State-gov,Federal-gov,Self-emp-not-inc,Self-emp-inc,Local-gov,Without-pay,Never-worked}
@attribute education.num {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute marital.status {Single,Married}
@attribute occupation {Exec-managerial,Machine-op-inspct,Prof-specialty,Other-service,Adm-clerical,Craft-repair,Transport-moving,Handlers-cleaners,Sales,Farming-fishing,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute sex {Female,Male}
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute hours.per.week numeric
@attribute income_nominal {0,1}

@data
26_40,Self-emp-inc,13,Married,Exec-managerial,Male,7688,0,70,1
41_60,Private,12,Married,Prof-specialty,Male,0,0,20,1
0_25,Private,9,Single,Adm-clerical,Female,0,0,40,0
26_40,Private,11,Married,Prof-specialty,Male,0,0,40,1
0_25,Private,13,Single,Exec-managerial,Female,0,0,40,0
0_25,Private,9,Single,Other-service,Female,0,0,35,0
26_40,Private,11,Single,Machine-op-inspct,Male,0,0,40,0
0_25,Private,9,Married,Exec-managerial,Male,0,0,62,0
41_60,Private,11,Single,Prof-specialty,Female,0,0,35,0
26_40,Private,11,Single,Prof-specialty,Male,0,0,40,0
26_40,Private,12,Single,Other-service,Male,0,0,25,0
0_25,Private,10,Single,Craft-repair,Male,0,0,40,0
61_max,Self-emp-not-inc,13,Single,Exec-managerial,Male,99999,0,20,1
0_25,Private,9,Married,Sales,Male,0,0,55,1
41_60,Private,7,Single,Other-service,Female,0,0,40,0
26_40,Private,10,Married,Transport-moving,Male,0,1887,40,1
0_25,Private,10,Married,Sales,Male,0,0,40,0
41_60,Self-emp-not-inc,9,Married,Craft-repair,Male,0,0,48,1
0_25,Private,10,Single,Handlers-cleaners,Female,0,0,35,0
41_60,Private,10,Single,Adm-clerical,Female,0,0,40,0
41_60,Local-gov,9,Single,Other-service,Female,0,0,40,0
26_40,Self-emp-not-inc,9,Married,Farming-fishing,Male,15024,0,50,1
26_40,Local-gov,10,Single,Transport-moving,Female,0,0,40,0
0_25,Self-emp-not-inc,14,Single,Tech-support,Female,0,0,25,0
41_60,Self-emp-inc,10,Married,Exec-managerial,Male,0,0,40,1
26_40,Private,9,Single,Adm-clerical,Female,0,0,40,0
0_25,Private,9,Married,Adm-clerical,Male,0,0,60,0
26_40,Local-gov,10,Married,Protective-serv,Male,0,0,70,1
41_60,Private,4,Single,Machine-op-inspct,Female,0,0,10,0
26_40,Private,9,Single,Sales,Female,0,0,40,0
